,ORIGEN,DESTINO,POR RENDIR S/
0,"Divemotor Panamericana Sur, Lima, Peru","Macropolis, Lima, Peru",0
2,"Nicolas Ayllon, Lima, Peru","Trujillo, Peru",250
3,"Lurin, Lima, Peru","Trujillo, Peru",250
4,Arequipa,AQP Sistemas S.A.C,150
5,"Lurin, Lima, Peru","Arequipa, Peru",300
10,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
11,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
14,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
15,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
16,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
17,"Arequipa, Peru","Nicolas Ayllon, Lima, Peru",400
18,"Arequipa, Peru","Nicolas Ayllon, Lima, Peru",300
20,"Remsina sac, Lima, Peru","Lurin, Lima, Peru",50
21,"Remsina sac, Lima, Peru","Lurin, Lima, Peru",50
22,"Trujillo, Peru","Nicolas Ayllon, Lima, Peru",250
23,"Trujillo, Peru","Nicolas Ayllon, Lima, Peru",250
24,"Huaraz, Peru","Chiclayo, Peru",300
28,"Divemotor Panamericana Sur, Lima, Peru","Cerro de Pasco, Peru",200
29,"Lurin, Lima, Peru","Trujillo, Peru",200
30,"Lurin, Lima, Peru","Nicolas Ayllon, Lima, Peru",50
31,"Nicolas Ayllon, Lima, Peru","Trujillo, Peru",400
32,"Nicolas Ayllon, Lima, Peru","Trujillo, Peru",250
35,"Icalu, Lima, Peru","Trujillo, Peru",250
36,"Icalu, Lima, Peru","Trujillo, Peru",250
37,"Divemotor Panamericana Sur, Lima, Peru","Cerro de Pasco, Peru",200
39,"Famedi, Lima, Peru","Lurin, Lima, Peru",100
40,"Famedi, Lima, Peru","Lurin, Lima, Peru",50
45,"Lurin, Lima, Peru","Arequipa, Peru",500
47,"Lurin, Lima, Peru","Arequipa, Peru",350
48,"Lurin, Lima, Peru","Arequipa, Peru",350
49,"Lurin, Lima, Peru","Arequipa, Peru",350
50,"Lurin, Lima, Peru","Arequipa, Peru",350
52,"Lurin, Lima, Peru","Arequipa, Peru",350
54,"Trujillo, Peru","Divemotor Panamericana Sur, Lima, Peru",200
55,"Nicolas Ayllon, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",100
56,"Cajamarca, Peru","Suc. Lambayeque, Peru",200
57,"Suc. Huancayo, Peru","Ayacucho, Peru",400
88,"Lurin, Lima, Peru","Arequipa, Peru",350
89,"Lurin, Lima, Peru","Arequipa, Peru",350
90,"Lurin, Lima, Peru","Arequipa, Peru",350
91,"Lurin, Lima, Peru","Cerro de Pasco, Peru",400
92,"Lurin, Lima, Peru","Cerro de Pasco, Peru",200
93,"Lurin, Lima, Peru","Cerro de Pasco, Peru",200
97,"Nicolas Ayllon, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",400
130,"San Martin de Porres, Lima, Peru","Lurin, Lima, Peru",50
209,"Lurin, Lima, Peru","Icalu, Lima, Peru",50
210,"Z1, Lima, Peru","Lurin, Lima, Peru",50
211,"Z1, Lima, Peru","Lurin, Lima, Peru",50
212,"Z1, Lima, Peru","Lurin, Lima, Peru",50
213,"Z1, Lima, Peru","Lurin, Lima, Peru",50
214,"Z1, Lima, Peru","Lurin, Lima, Peru",50
215,"Macropolis, Lima, Peru","Remsina sac, Lima, Peru",50
216,"Macropolis, Lima, Peru","Remsina sac, Lima, Peru",50
217,"Macropolis, Lima, Peru","Remsina sac, Lima, Peru",50
